Date	Time	Severity	PID	TID	Function	Message
17-12-2025	18:30:36.282	 INFO	 86328	 75996	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	18:30:36.283	 INFO	 86328	 75996	DllMain	"PROCESS ATTACHED"
17-12-2025	18:30:36.284	 INFO	 86328	 65808	LateInitialization	"Intialization..."
17-12-2025	18:30:36.284	 INFO	 86328	 65808	LoadDisplayDevicesName	"DisplayDevices : "
17-12-2025	18:30:36.285	 INFO	 86328	 65808	LoadDisplayDevicesName	"\\.\DISPLAY1"
17-12-2025	18:30:36.285	 INFO	 86328	 65808	LoadDisplayDevicesName	"\\.\DISPLAY2"
17-12-2025	18:30:36.286	 INFO	 86328	 65808	LoadDisplayDevicesName	"\\.\DISPLAY3"
17-12-2025	18:30:36.287	 INFO	 86328	 65808	LoadDisplayDevicesName	"\\.\DISPLAY4"
17-12-2025	18:30:36.290	ERROR	 86328	 65808	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
17-12-2025	18:30:36.291	 INFO	 86328	 65808	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 500441984
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
17-12-2025	18:30:36.291	 INFO	 86328	 65808	LateInitialization	"Intialization finished"
17-12-2025	18:30:37.410	 INFO	 69108	 83880	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	18:30:37.412	 INFO	 69108	 83880	DllMain	"PROCESS ATTACHED"
17-12-2025	18:30:37.412	 INFO	 69108	 58156	LateInitialization	"Intialization..."
17-12-2025	18:30:37.413	 INFO	 69108	 58156	LoadDisplayDevicesName	"DisplayDevices : "
17-12-2025	18:30:37.414	 INFO	 69108	 58156	LoadDisplayDevicesName	"\\.\DISPLAY1"
17-12-2025	18:30:37.414	 INFO	 69108	 58156	LoadDisplayDevicesName	"\\.\DISPLAY2"
17-12-2025	18:30:37.415	 INFO	 69108	 58156	LoadDisplayDevicesName	"\\.\DISPLAY3"
17-12-2025	18:30:37.415	 INFO	 69108	 58156	LoadDisplayDevicesName	"\\.\DISPLAY4"
17-12-2025	18:30:37.418	ERROR	 69108	 58156	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
17-12-2025	18:30:37.418	 INFO	 69108	 58156	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 500443109
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
17-12-2025	18:30:37.419	 INFO	 69108	 58156	LateInitialization	"Intialization finished"
17-12-2025	18:31:29.621	 INFO	 80912	 10844	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	18:31:29.623	 INFO	 80912	 10844	DllMain	"PROCESS ATTACHED"
17-12-2025	18:31:29.624	 INFO	 80912	 79160	LateInitialization	"Intialization..."
17-12-2025	18:31:29.624	 INFO	 80912	 79160	LoadDisplayDevicesName	"DisplayDevices : "
17-12-2025	18:31:29.625	 INFO	 80912	 79160	LoadDisplayDevicesName	"\\.\DISPLAY1"
17-12-2025	18:31:29.626	 INFO	 80912	 79160	LoadDisplayDevicesName	"\\.\DISPLAY2"
17-12-2025	18:31:29.626	 INFO	 80912	 79160	LoadDisplayDevicesName	"\\.\DISPLAY3"
17-12-2025	18:31:29.627	 INFO	 80912	 79160	LoadDisplayDevicesName	"\\.\DISPLAY4"
17-12-2025	18:31:29.629	ERROR	 80912	 79160	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
17-12-2025	18:31:29.630	 INFO	 80912	 79160	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 500495328
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
17-12-2025	18:31:29.631	 INFO	 80912	 79160	LateInitialization	"Intialization finished"
17-12-2025	18:31:30.800	 INFO	 61124	 82132	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	18:31:30.801	 INFO	 61124	 82132	DllMain	"PROCESS ATTACHED"
17-12-2025	18:31:30.803	 INFO	 61124	 85412	LateInitialization	"Intialization..."
17-12-2025	18:31:30.804	 INFO	 61124	 85412	LoadDisplayDevicesName	"DisplayDevices : "
17-12-2025	18:31:30.804	 INFO	 61124	 85412	LoadDisplayDevicesName	"\\.\DISPLAY1"
17-12-2025	18:31:30.805	 INFO	 61124	 85412	LoadDisplayDevicesName	"\\.\DISPLAY2"
17-12-2025	18:31:30.805	 INFO	 61124	 85412	LoadDisplayDevicesName	"\\.\DISPLAY3"
17-12-2025	18:31:30.806	 INFO	 61124	 85412	LoadDisplayDevicesName	"\\.\DISPLAY4"
17-12-2025	18:31:30.809	ERROR	 61124	 85412	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
17-12-2025	18:31:30.810	 INFO	 61124	 85412	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 500496500
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
17-12-2025	18:31:30.810	 INFO	 61124	 85412	LateInitialization	"Intialization finished"
17-12-2025	18:34:08.156	 INFO	 86072	 73132	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	18:34:08.158	 INFO	 86072	 73132	DllMain	"PROCESS ATTACHED"
17-12-2025	18:34:08.164	 INFO	 86072	 79224	LateInitialization	"Intialization..."
17-12-2025	18:34:08.166	 INFO	 86072	 79224	LoadDisplayDevicesName	"DisplayDevices : "
17-12-2025	18:34:08.167	 INFO	 86072	 79224	LoadDisplayDevicesName	"\\.\DISPLAY1"
17-12-2025	18:34:08.168	 INFO	 86072	 79224	LoadDisplayDevicesName	"\\.\DISPLAY2"
17-12-2025	18:34:08.169	 INFO	 86072	 79224	LoadDisplayDevicesName	"\\.\DISPLAY3"
17-12-2025	18:34:08.170	 INFO	 86072	 79224	LoadDisplayDevicesName	"\\.\DISPLAY4"
17-12-2025	18:34:08.173	ERROR	 86072	 79224	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
17-12-2025	18:34:08.174	 INFO	 86072	 79224	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 500653875
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
17-12-2025	18:34:08.174	 INFO	 86072	 79224	LateInitialization	"Intialization finished"
17-12-2025	18:34:09.343	 INFO	 82876	 81564	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	18:34:09.346	 INFO	 82876	 81564	DllMain	"PROCESS ATTACHED"
17-12-2025	18:34:09.347	 INFO	 82876	 79372	LateInitialization	"Intialization..."
17-12-2025	18:34:09.348	 INFO	 82876	 79372	LoadDisplayDevicesName	"DisplayDevices : "
17-12-2025	18:34:09.349	 INFO	 82876	 79372	LoadDisplayDevicesName	"\\.\DISPLAY1"
17-12-2025	18:34:09.349	 INFO	 82876	 79372	LoadDisplayDevicesName	"\\.\DISPLAY2"
17-12-2025	18:34:09.350	 INFO	 82876	 79372	LoadDisplayDevicesName	"\\.\DISPLAY3"
17-12-2025	18:34:09.351	 INFO	 82876	 79372	LoadDisplayDevicesName	"\\.\DISPLAY4"
17-12-2025	18:34:09.355	ERROR	 82876	 79372	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
